no	review	sentiment
32	taman merbabu bagus santai cari inspirasi keluarga main bola semenjak abah anton jabat taman malang buka	positive
33	simpan sejarah diri usaha rokok bentoel usaha keluarga usaha buka milik british american tobacco	positive
34	salah angker pusat kota malang angker tidak unjung enggan unjung tantang sendiri penasaran	positive
35	hawa waterpark waterpark kota malang sana adek seluncur tinggi meter air mancur cocok anak sore tawar rasa sensasi tsunami buat tantang	positive
36	lokasi kompleks araya dekat sport araya tempat suasana tradisional kontur sawah sungai menu pilih enak harga jangkau layan ramah parkir luas	positive
37	alun alun kota malang pas hemat indah taman pukau tema tema kuta pose berselfie ria diwlam air terjun indah hias lampu yg kedip kedip olanh air terjun joget joget taman nya asri pesona main anak olahraga skateboard nya	positive
38	hotelini cocok harap pandang langsung hadap gunung kamar kamar bersih rapi staf layan ramah sarap oke layan next kesini inap	positive
39	museum tidak tarik tata rapi museum tempat bekas pabrik rokok bentoel th an jalan museum lewat pasar belok kanan kulon pasar belok kanan jalan wiromargo relatif sempit padat jalan nya arah free tiket masuk jaga museum ramah sabar jelas baca sejarah rokok bentoel sedia parkir pada area museum menariik	positive
40	hem kota malang wajib mampir nih masjid besar megah kota malang karpet empuk banget sholat lebih nyaman khusuk	positive
41	bakso enak banget cocok banget bakso bakar habis macem isi dr bakso siomay goreng pulang slalu bawa kripik bakso donk ya	positive
42	nama unik suasana nyaman letak kampus taman pas jadi anak muda kumpul positif wadah bagus komunitas panggung tampil seru malam jual makan suasana nongkrong murah riah asa	positive
43	alun alun mudah jangkau kota kereta turun stasiun kota jalan kaki alun alun tugu alun alun bentuk lingkar tugu taman tengah nyaman dar nongkrong nongkrong	positive
44	wisata cocok foto foto kerabat letak tidak balai kota malang stasiun kota malang letak parkir pinggir jalan hati hati bawa kendara tiket masuk jangkau saran bawa minum lelah turun tangga jika tidak bawa warga jual	positive
45	kenal tinggal tinggal juang zaman tambah tahu jadi jadi jajah gerbong maut merinding sedih baca kisah	positive
46	museum banyak isi koleksi benda benda juang usir jajah bumi nusantara tidak tampil koleksi alat perang senjata tank kursi mobil pakai diplomasi arsip pakai pakai juang revolusi unjung rasa perlu kenang juang susah	positive
47	letak jantung kota malang bundar indah cocok foto foto keluarga saat senggang nikmat pagi sejuk senja damai tidak malam bagus sorot lampu balai kota indah	positive
48	museum malang tempo doloe bilang jarang orang yg tau isi putar kota malang raja singosari list jabat tinggi malang jual pernak pernik malang lbh rajin sih belah pas resto inggil jd hbs jalan bs makan d	positive
49	salah icon kota malang tugu bagus bersih jaga taman indah nyaman foto kalo malang ga tuh lengkap	positive
50	suka wisata landmark balai tugu kota malang wajib kunjung main kota malang istilah instagramable sayang bunga bunga artifisial coba tanam bunga alami indah	positive
51	sempat unjung masjid jam ibadah alun alun malang letak masjid strategis seberang alun alun malang arsitek bangun jaga	positive
52	pasar bunga hubung pasar burung warna warni bunga tanam temu burung hewan jangan lupa pergi warna warni ikan apuarium	positive
53	pasar burung malang ramai jual burung jual kios kios pinggir trotoar jembatan aneka ragam jenis burung jual sangkar makan nama pasar burung hewan jual kelinci musang kucing dagang batu akik tinggal ramai pasar burung salah obyek wisata alternatif kota malang	positive
54	asik belanja harga saing lokasi kota mudah tuju parkir luas lumayan lengkap belanja pas promo wow hahahaha nice	positive
55	suka masjid sisi bangun megah nan modern sisi sentuh tradisional jawa kental langit langit atap kayu karpet tebal hawa masjid sejuk jamaah betah lama masjid ibadah	positive
56	hotel milik ruang buka luas desain antik kamar bersih nyaman ac kurang dingin kasur miring kurang nyaman hotel cocok inap keluarga main kolam renang	positive
57	hotel lumayan bagus layan lobi bagus harga makan restonya mahal ruang kamar sempit kamar bersih toilet bersih tempat strategis nilai bagus harga hemat	positive
58	resto indie pilih lelah keliling kota malang viewnya bagus lokasi samping sungai hias gazebo unik lelah bayar menu tarik lezat layan bagus tidak perlu tunggu makan hidang bisns ok acara keluarga sayang tuju mata nikmat pandang enak nasi bal pilih tidak sanggup habis harga lebih banding ukur porsi layan pandang	positive
59	taman merbabu daun kalang warga kota malang tempat tidak pusat kota lewat angkut buat mudah capai unjung pohon rindang taman asri wahana main anak cocok kunjung keluarga bawa anak	positive
60	saran ambil foto stasiun kereta api malang bunga indah	positive
61	konsep one shop shopping toko bilang lengkap barang cari lokasi kota mudah akses harga saing ritel modern design toko libat kuno tambah sendiri pasuk toko temu barang langka	positive
62	ajar sejarah museum brawijaya kenal juang gentar sedikit lawan jajah usik merdeka indonesia senjata pistol meriam halaman gerbong maut angkut juang tawan perang jendral sudirman jangan bimbang hadap derita cita cita capai berat derita alami sungguh obar semangat juang	positive
63	mal konsep sporty mana lahan belah stadion gajayana mal lengkap malang	positive
64	pulang jkt cari cari makan siang deket deket bandara tempat enak ketemu deh si taman indie resto view nya asli bagus makan enak bandara km an	positive
65	museum brawijaya tengah kota malang cocok teman teman sejarah tentara malang dalam senjata diorama juang depan musem langsung sambut dg tank tank yg diri kokoh depan museum keliling kolam menyebrang masuk dalam	positive
66	nyaman yah nyaman deket security nya ramah layan ramah cuman kamar mandi cacingnyaaaa kamar lantai air panasss mantab jaya puanas pollll sampe kiyer kiyer trus hair dryer lemari cuman berisik	positive
67	pasuk museum malang tempo doeloe langsung akan bawa malang doeloe banget diorama diorama benda benda koleksi sejarah lumayan lengkap cerita mata loh malang indonesia merdeka cahaya tata rupa tata apik tambah atmosfir an malang napak tilas imaginatif arung jaman jaman malang rangkak	positive
68	bangkit semangat juang yel yel merdeka mati semangat tomo pimpin arek arek suroboyo lawan sekutu nica tanggal nopember tewas jendral belanda mallaby peristiwa heroik sobek warna biru bendera belanda merah putih hotel majapahit perang gerilya pimpin jendral soedirman operasi trisula terjun pasu trikora iri jaya kirim	positive
69	tidur nyaman twin bed gabung makan pagi menu lumayan layan ramah anak anak nyaman renang kali renang tidak bosan terima kasih santika	positive
70	objek tarik buka libur hal gedung sate istana bogor objek sejarah tarik	positive
71	toko avia letak pojok jalan jaksa agung suprapto diri kanak kanak pusat belanja diri toko eks rame unjung konsep toko toko swalayan layan counter kue basah jual barang butuh hari sampo minyak goreng jual bahan bahan kue cetak camil kue lokasi belanja mudah kunjung lokasi jalan utama angkut mikrolet ag lewat	positive
72	kota malang sy jd pilih cari ga spookyy jalan malam alhasil nginep tempat bagus bersih harga sesuai bersih layan kamar wifi kenceng maksimal kamar krn kuat signal ga pakai acara nanya password wi fi malam jalan kaki kurang lebih menit mall olympic garden enak sore gt pandang bagus pulang jangan lebih dr jam malam hotel my pleasant stay here d	positive
73	malang town square kenal matos salah mall kota malang letak kampus malang universitas brawijaya um uin umm kampus unjung kalang mahasiswa bioskop renovasi fasilitas lengkap foodcourt musholla toilet matahari dept store kfc ph roti boy gramedia pustaka stan pakai boneka aksesoris pafrum jam tangan	positive
74	balai kota malang depan taman indah hias hias tarik salah spot tarik potografer malang	positive
75	taman konsep family park wahana main anak anak alat alat berolaraga pasti gratis jalan ijen kota malang	positive
76	mog salah mall favorit kunjung malang matos tempat cocok belanja cari makan tidak mahal tenant makan sehngga mudah cari makan cari barang barang tas survernir accesoris hp dsb lengkap lengkap giant pokok mall matos layak kunjung malang letak mog strategis pusat kota inap hotel aria gajayana hotel biintang salah hotel baik malang	positive
77	taman letak jalan merbabu guest house merbabu milik tempar main utk anak lapang futsal arena pasir rumput cocok utk ajak putra putri jalan sore bersih	positive
78	tepat jodipan kampung unik warna warni masuk tarif rupiah gambar seni lucu dimensi	positive
79	konsep waterpark yg betah lama main air saran datang lebih pagi nikmat ombak tsunami x buka wahana	positive
80	masjid jam milik desain arsitektur bagus wudhu toilet bersih toilet mukenah pinjam masjid jamaah bersih tidak bau shalat luas suasana kondusif tempat pinggir jalan raya masuk masjid suasana tenang tidak dengar lalang kendara motor karpet bersih empuk	positive
81	htm rp jeprat jepret foto suka hati spot foto keren cocok suka foto foto warga ramah ramah sedia toilet musholla tambah kampung tridi nya udah gak perlu wahana tridi mahal mahal deh kesini aja murah riah	positive
82	for the first time makan bakso presiden kenal malang pas ngantriii sdh jam makan siang kasir menu habis jd kamj mes menu bakso bakar enak bakso malang supeeer istimewa makan pinggir rel kereta waaaw awesome	positive
83	design bagus malang kantor walikota asri adem air mancur bagus neng selfi	positive
84	tempat bagus lampu kelap kelip sore malam cocok nongkrong remaja bising lewat kendara ramai	positive
85	nya bagus bersih enak kolam tsunami seru banget kolam arus nya enak banget tp jalan loker area main panas kaki asa panas banget ga pakai alas kaki pohon nya kurang	positive
86	museum letak bahan restoran sedia dekorasi kait kota tua malang tiket murah ajar singkat padat kait kota malang cocok tau kota malang orang malang tidak tau ada lokasi museum informasi sejarah kota malang senang	positive
87	banding mog mall lebih lengkap mall seringkali ramai unjung daerah kampus	positive
88	tempat asyik nyaman bersih letak dalam rumah araya view bagus foto keluarga beda resto laen makan minum pilih	positive
89	kesini lumayan tempat cocok foto foto ala vokalis symphonic metal gitu keren deh pokok	positive
90	bundar tugu spot indah strategis kota malang taman cantik tata bunga tawan jalan kaki kunjung sejarah gedung walikota taman rekreasi kota dewan seni malang stasiun kota malang pasar bunga hias hewan splendid hotel tugu	positive
91	suka matos bwt jalan belanja aktivitas bisnis yg perlu mall bank yg cenderung tdk byk antri drpd bank tmpt transaksi toko emas dll yg suka ruang busui musholanya skg jg bangun area parkir lbh luas dr sebelumny oiya wkt kesana lantai lukis d nya jd cocok bwt yg hobby foto	positive
92	renovasi alun alun malang ubah ruas ruas jalan alun alun tambah fasilitas mari ajak keliling wajah alun alun malang	positive
93	layan proses regristasi antar kamar staff ramah hotel bersih kamar nya luas layan staff restaurant cepat sarap pagi pilih	positive
94	kampung nuansa warna warni duduk ramah ramah bebas foto foto ide cemerlang kampung obyek wisata	positive
95	cinta sejarah wajib kunjung ajar tambah wawas sejarah	positive
96	tempat bagus malam lihat lampu nang nang lokasi kota rasa bising	positive
97	suasana sejuk tenang kawasan keliling bangun nuansa kolonial pusat kota malang mudah jangkau stasiun utama kota malang jangan lupa mampir ambil foto kota malang	positive
98	bagus berselfie ria foto malam lebih asyik lebih terang lampu berwrna warni	positive
99	hotel bagus karyawannya ramah ramah layan bagus sarap enak makan lengkap lokasi strategis mana kamar luas harga tidak mahal	positive
100	masjid letak belah alun malang yg tonjol arsitek bangun cat putih kilas masjid timur sentuh indonesia yg pintu yg buat kayu yg pelitur coklat habis magrib aji jd cocok yg lebih dalam ilmu agama islam	positive
101	sy sdh bbrpa kali belanja toko avia pintas kalo harga relatif lbh murah banding toko swalayan yg jenis lumyan lengkap jg sy tdk perhati bayar kasir ya krn kalo belanja belanja dlm yg banyk butuh hari minggu biasa kalo sdh blanja tdk ngecek struknya pokok bayar yg ditujukkan struk tp belanja juta rupiah sy kaget krn struk rincian yg bingung tdk tau barang krn struk tdk nama item cm kode kode toko tsb harga item tsbt saking bingung bebrapa barang yg tempel harga tp bbrp barang tdk label harga cek satu lg aja yg masukin belanja tp gk nemu jawab muncul curiga si kasir buat curang krn kode harga yg masuk dobel bbrp kali krn tulis kode item harga struk tdk lacak barang skrg kapok belanja lg avia krn jadi tambah lg sikap n perilaku si kasir laki laki yg tugas meja yg tdk ramah wkt mata tegur dgn kasar rekan kerja yg tugas bantu masuk barang kresek review moga jd ajar yg lbh hati hati pilih belanja perhati struk sesuai dgn barang yg beli	negative
102	booking harris tamu tanggal oktober kecewa karyawan tamu tambah handuk langsung merespon tawar harga nya sapa layan senyum langsung sebut harga charge handuk bantu kupas mangga pasang tarif rb fasilitas tuju bayar upgrade kamar tidak apa minta customernya bahasa kasar kes urak kalo tidak percaya silah coba inap sana	negative
103	kota malang inisiasi taman rekreasi kota buka tman rekreasi kota tareko bantaran sungai brantas balai kota malang taman rekreasi sedia sarana minim menginat tempat tidak luas sangkar sangkar isi hewan piara burung kakak tua burung hantu dsb kera siamang pekan lapang parkir balai kota sulap taman main anak anak mobil mobil kolam renang buka	negative
104	kunjung kunjung pas siang yg panas goda ngicip menu pilih jatuh sayur asem lauk empal empal empuk goda d kaya rempah icip si suap icip tau manis nya maaf kurang suka makan manis segar sayur asem nya tutup manis harga dg menu	negative
105	gak pepet males nginep situ hotel rate lebih kamar mandi gak bersih bersih sembunyi tidak perhati	negative
106	ber orang harap layan maksimal restoran recommended malang sayang meja saji makan tumpuk tidak pisah pisah sisi meja gilir makan ujung ujung cakap isi geser makan kwitansi bayar rangka urus kantor tidak milik kwitansi cari aneh tidak materai restoran mana pergi sedia lebih gila tidak invoice kwitansi sama salah alhasil esok restoran jam pulang kerja akses kesana macet ambil kwitansi bermaterai lupa pandang ambience layan lebih buruk beli makan untrained staff kecewa	negative
107	kurang puas layan kamar kamar mandi nya masalah housekeeper nya kurang mempeprhatikan standart dlm make up room kamar berisik handuk tdk bersih genang air kamar mandi	negative
108	suara d lorong kamar dengar keras kamar tidak tidur nyenyak ganggu jam jam pagi anak teriak lorong kamar tidak kedap suara bangun tamu yg tidur akses internet putus pancur shower kurang kencang deras	negative
109	museum ubah renovasi an koleksi kurang pelihara lokasi strategis jalan ijen	negative
110	taman indie masuk lobbynya kaya org nyelonong ga brp org sampe hrs nanya kasir duduk meja kasir krn penuh duduk menu kasih menit liat menu panggil pegawai kasir pegawai pegawai bilang sebentar mutar muter trus trus hilang mana pegawai panggil pertama kaya ga dengerin lwt belah trus rada kencengin manggil noleh bilanh bentar ya trus mangkal kasir hilang mana jengkel menit didiemin kasir ktnya nunggu menit jam mkn sy lempar menu tinggal pulang resto dgn review tripadvisor dgn urut no hrsnya model gin urut ratus service dlm resto no resto sebsr pegawai standby lobby cmn trus tinggal kasir aja ga niat jual kali ya sombong parahhhh	negative
111	bakso biasa aja ga yg spesial kalo makan asa lbh tepung bakso yg spesial layan yg minim	negative
112	sayang malang night market banget dagang tutup tidak jual karena sepi kurang lengkap letak lumayan jangkau kampus malang sepi minat	negative
113	maaf mohon utama layan prima nya pegawai nya galak galak perempuan masuk wahana wisata gratis mohon harga	negative
114	biasa aja menang sejarah aja kali ya warung tua legendaris jaman kalo liat segi biasa aja daaaan rada mahal sih	negative
115	lokasi kurang strategis harga mahal ngga banding ama antri banget layan kurang ramah ramah layan cuek nyesel banget mampir situ huhhhh	negative
116	tempat bagus anak main sayang lokasi keliling jalan ramai kendara bising	negative
117	kunci kamar rusak sdh bantu tugas buka manual janji baik tunggu jam lebih baik malam reception telpon kamar konfirmasi besok pagi perlu surat kabar tuju kirim surat kabar kompas tp surat kabar tidak kirim kamar cek out	negative
118	keluarga keluarga inap shower air panas sedia am pm orang staf tidak buat keluh pergi balita	negative
119	susun kamar lumayan ok kurang bed nya kurang bersih air panas kurang fungsi malam panas pagi tidak panas alias dingin tekan shower kurang lokasi	negative
120	not friendly state suruh keponakan manggil waiters area pool keponakan kasi menu restaurant disuru bawa duduj pool layan hotel bad attitude jam pagi checkout late check out reseptionist meng iya charge rb jam hitung jam siang deal sampe jam meeting siang istri tinggal anak jam telp tdk bs late checkout booking istri telp complain hotel via handphone hotel putus tidak bs late checkout indah minta agreement yg jam pagi jam checkout istri bolak telponin diwarning checkout jam panik buru maksud usir bayar juta lebih kamar pelayannanya	negative
121	taman rekreasi kota tarekot letak belakang balai kota malang lengkap aneka burung joging track sungai jual sayang awat wajar sepi unjung jual makan tutup sepi unjung sayang rekreasi murah perlu masyarakat rawat kurang awat sepi unjung	negative
122	layan kecewa segmentasi langgan langgan kaya biasa layan cuek orng tampil biasa sesal mes hotel fasilitas hotel bagus dukung akibat layan feedback buruk hotel milik rate nb tugas cuman housekeeping ramah terima kasih	negative
123	kondisi pool jelek kurang safety u kids keramik yg copot kaki anak sy gores ujung keramik lampu sorot copot hand towel tdk pas checkout jd tdk nyaman	negative
124	tempat bagus luas keluarga senang tempat panas pohon pohon kurang lg teduh minim kurang awas security kolam moga lebih depan	negative
125	taman main anak taman keluarga sayang pohon kurang lebat suasana taman kurang asri bunga bunga kurang awat main anak kurang awat	negative
126	pergi seberang hotel bangun tidak lebih tarik objek wisata pandang informasi percaya angker guna lebih seram tidak layak kunjung pergi	negative
127	rasa bakso president kualitas bakso sedia kurang ruang luas bersih kurang jaga	negative
128	kunjung ku kali museum i don t know what happen between indonesia and museum negara gak emas benda benda sejarah tarik sejarah indonesia tarik jujur aja museum kotor debu	negative
129	museum brawijaya manfaat ilmu tahu kenal sejarah dahulu kondisi kurang awat kurang tarik mati wisatawan	negative
130	pesan kamar kamar dekat recepsionist saran lantai smooking room tuju syarat jangan cium bau rokok tugas jamin tidak cium bau rokok terapi kamar pakai compliment buah ac dingin kamar belah bau rokok pekat tidak teko panas tissue tinggal komplain tugas hotel tawar kamar tuju kembali kunci kamar api jalan jalan kunci kamar kunci kamar alas terapi majernya pas masuk kamar tidak bau rokok kamar mandi bau rokok saran jangan kamar meroko tamu tidak rokok bawa anak	negative
131	musim libur suami anak renang nya suasana kolam ramai oke tdk selang kolam sepi tidak nyaman kelompok org dewasa remaja ajar renang gaduh serasa kolam milik pribadi i tamu yg tdk inap lokasi makan area kolam kurang tata ya krn meja unt makan cangkir tea nya debu kecewaaaa	negative
132	sampa hotel harris malang tidak satu karyawan yg sambut datang tidak karyawan yg angkat koper mobil libur dua anak umur beli room breakfast traveloka check in anak umur kena breakfast tidak resepsionis tidak open credit card breakfast shuttle free bandara antar bandara kena biaya flight jam mes mobil antar bandara biaya check out buru buru bandara tidak tagih main tanda tangan nya jakarta buka amplop hotel harris tagih breakfast orang telphone hotel tagih orang kena orang anak umur pihak hotel harris malang selesai masalah tidak masa uang benci curang yg hotel harris hotel harris bilang shuttle free nyata bayar hotel harris free breakfast umur nyata bayar moga hotel haris tidak yg kolam renang kotor daun mana lantai kolam renang licin kamar mandi kolam renang kotor breakfast hambar tidak enak tidak profesional hotel bintang	negative
133	bau kamar tidak enak air panas menit kamar mandi bekas rambut unjung ngumpul bagus layan nya kurang bagus tidak cocok	negative
134	tempat gue nggak asik karna padet puol nggak special ice creamnya biasaa ajahh	negative
135	bangun nama wisma tumapel letak jalan tumapel no tidak bundar tugu balaikota malang bangun bangun diri dempet bangun kabar wisma huni civitas akademika universitas negeri malang huni wisma pindah tinggal mantan dosen bangun bekas tinggal jabat perintah hindia belanda kondisi tidak awat hun tukang becak nongkrong wisma tumapel bangun huni mahluk halus kadang suka muncul malam tugas sekuriti wisma tumapel aku kesan horor salah wisma tumapel	negative
136	langgan setia hotel malam td stay kali layan yg kecewa oleh pd sahur td malam iniinfo terima dr reception resto buka jam pagi sdh utk sahur dtg staff msh pd tidur lampu msh mati gelap tunggu lbh dr menit utk bs sahur menu utama blm saji dr standart santika tahu rasa	negative
137	kesini adik mau beli ice cream menit dicuekin pas menu kasih lempar muka cemberut kl ngak ikhlas ngak kerja mbak layan anak pakai seragam putih hitam ngak anak magang mmg seragam gitu yg kali kecewa krn layan spt kesini ogah bro layan blm	negative
138	breakfast nya kecewa menu yg persis biasa banget tingkat layak hotel bintang ya langit kamar mandi rontok lokasi strategis	negative
139	museum tidak luas keliling jam secera oke kurang jasa guide pandu guide lebih ok	negative
140	bau karpet lorong apek tdk nyaman jalan lorong sirkulasi udara kamar kurang layan senang lift turun lambat butuh maintenance suasana hotel bagus	negative
141	sarap keluarga toko oen menang branding masakan minum harap harga mahal kelas harga hotel buruk mes nasi goreng asin fresh juice tidak dingin tidak layan counter roti cemberut tidak senyum for sure not coming back to this restourant	negative
142	tanggal desember kemarin rombong kantor rencana jalan dinas kota malang browsing putus inap hotel minggu rencana pergi sdh booking kamar hotel tgl des transfer dpnya yg lebih charge hotel kota malang alangkah kejut chek in kamar sedia front desk tidak bantu cenderung remeh ada proses tunggu krg lebih jam baru kamar yg beda yg pesan smoking room panjang chek out tidak boleh alas kamar pes kereta berangkat jam sore titip barang loby tunggu jadwal berangkat kereta sebal ambil barang titip tugas tidak mengijinkan alas tidak kartu ambil barang titip tidak kartu titip barang tugas jaga beda tugas yg ganti shift kurang menit berangkat kereta debat tugas bersikukuh tidak barang tiket baru keluar id card debat lepas barang lari kejar kereta nya muas hotel menu b fast yg lengkap lebih kecewa layan hotel	negative
143	layan order aja susah makan mnt ice cream lebih dr mnt tidak solusi ambil makan	negative
144	kali inap sayangx tanggal maret kemarin kecewa inap sprei kamar tidak ganti meja kamar tidak tata rapi tulis web complimentary breakfast checkin tidak breakfast dapet ya suruh bayar	negative
145	atur inap kurang fleksibel resepsionis kurang sahabat ganggu nyaman libur gak fan kamar mandi jd rada bau lembab lokasi strategis pandang balkon pagi sejuk mata	negative
146	nilai jelek antri ueddan tenan gila banget teman biasa kereta kenal nilai	negative
147	tidak hotel jorok lantai lengket makan cecer cangkir kerubut semut toilet bekas bab warna kuning tidak bersih bed sheet noda sarung bantal lubang	negative
148	istri gym anggota minggu siang sore istri milik alam keri dapat tidak hotel olahraga dua ambil mandi kamar mandi gym afterbath duduk sofa tunggu istri gigil ponsel coba mandi pegang ponsel pintu kamar mandi ponsel blok arah kaget gerak sudut tunggu orang pergi sayang istri tidak dapat salah staf biaya staf laki laki shift standby tidak orang melambang pengaruh siang sore pm tidak kali fyi gym s pintu kamar mandi milik senjang sisi staf laki laki bebas masuk toilet wanita toilet perempuan bersih staf layan batas staf perempuan alam keri tidak latih bagi manajemen hotel ambil catat didik moral staf tidak perilaku tidak patut harap tidak hotel tamu anggota	negative
149	inap kertanegara maret kamar lantai kesan inap bagus ukur guest house layak sebut klaim premium guest house catat okok aktif siap kecewa hotel ketat atur larang rokok kamar kamar mandi ancam denda juta paksa tandatangan tuju pasal area rokok kafe balkon lantai repot ya pilih inap siap kecewa sarap harga rp pax sarap sungguh tidak masuk akal pilih menu lokasi bagus sayang suara bising jalan dengar kamar inap malam minggu siap dengar raung gank motor biasa mangkal jl ijen malam ribut car free day minggu pagi kamar bersih tugas bersih seprai handuk tangan tidak ganti inap lebih tidak biasa sarap bising minggu pagi layak timbang cari inap malang	negative
150	taman main anak taman keluarga sayang pohon kurang lebat suasana taman kurang asri bunga bunga kurang awat main anak kurang awat	negative
151	tau lot layan tamu tamu order makan ice cream pesanananya mohon baik jaga nama besae toko oen	negative
152	malam santai kamar tamu kamar masuk kamar kartu beda operator cek kamera cctv tunggu tidak besok nya check out maaf tidak nyaman nya tidak kamera cctv woow kelas hotel atria perlu tingkat nyaman nya kunci grendel pintu masuk kamar jangan tinggal barang geletak sembarang barang hilang hotel tidak tanggung kamera cctv tidak sungguh kecewa	negative
